devicetime,latitude,longitude,ac_lat,angle_volante,yaw_rate,rpm,score,anomaly,anomaly_data
2022-12-04 00:32:58.000,"-226,073,033","-688,120,083",0.39,0.22,0.0,1338.0,"8,690,032,754",0,No
2022-12-04 00:32:59.000,"-226,068,333","-688,119,233",-0.53,0.16,0.0,1341.0,"10,247,354,139",0,No
2022-12-04 00:33:00.000,"-226,068,333","-688,119,233",-0.55,0.08,0.0,1327.0,"10,578,514,242",0,No
2022-12-04 00:33:01.000,"-226,063,566","-688,118,583",0.02,0.08,0.0,1328.0,"7,904,928,679",0,No
2022-12-04 00:33:02.000,"-226,061,183","-688,118,216",-0.69,0.06,0.0,1338.0,"11,908,699,615",0,No
2022-12-04 00:33:03.000,"-2,260,588","-688,117,816",0.14,0.12,0.0,1354.0,"805,087,239",0,No
2022-12-04 00:33:04.000,"-22,605,645","-6,881,174",-0.08,0.12,0.0,1353.0,"7,512,313,795",0,No
2022-12-04 00:33:05.000,"-226,054,083","-688,117,016",-0.08,-0.14,0.0,1359.0,"7,512,313,795",0,No
2022-12-04 00:33:06.000,"-226,051,716","-68,811,665",-0.87,-0.26,-0.01,1363.0,"16,731,453,676",1,Yes
2022-12-04 00:33:07.000,"-226,049,283","-688,116,366",-0.51,0.19,0.0,1367.0,"10,134,247,691",0,No
2022-12-04 00:33:08.000,"-226,046,883","-68,811,615",-0.08,0.09,0.0,1365.0,"7,512,313,795",0,No
2022-12-04 00:33:09.000,"-22,604,445","-688,115,766",0.14,0.05,0.0,1366.0,"805,087,239",0,No
2022-12-04 00:33:10.000,"-226,042,033","-688,115,316",0.12,-0.01,0.0,1369.0,"7,778,901,369",0,No
2022-12-04 00:33:11.000,"-226,039,616","-688,114,883",0.23,0.06,0.0,1370.0,"807,768,115",0,No
2022-12-04 00:33:12.000,"-22,603,715","-688,114,483",0.0,0.06,0.0,1375.0,"6,813,183,741",0,No
2022-12-04 00:33:13.000,"-226,034,733","-68,811,405",0.32,0.12,0.0,1376.0,"8,191,352,586",0,No
2022-12-04 00:33:14.000,"-22,603,235","-688,113,616",0.14,0.06,0.0,1384.0,"805,087,239",0,No
2022-12-04 00:33:15.000,"-226,029,916","-688,113,183",0.36,0.15,0.0,1391.0,"820,044,248",0,No
2022-12-04 00:33:16.000,"-2,260,275","-688,112,783",-0.17,0.01,0.0,1376.0,"6,969,869,696",0,No
2022-12-04 00:33:17.000,"-22,602,505","-68,811,235",0.14,-0.02,0.0,1368.0,"805,087,239",0,No
2022-12-04 00:33:18.000,"-226,022,616","-68,811,195",-0.47,0.0,-0.01,1367.0,"9,752,031,968",0,No
2022-12-04 00:33:19.000,"-226,020,183","-68,811,155",-0.24,0.14,0.0,1361.0,"7,552,192,304",0,No
2022-12-04 00:33:20.000,"-226,017,733","-68,811,115",0.12,0.13,0.0,1352.0,"7,778,901,369",0,No
